"Analysis ID","Analysis name","Strata ID","Strata name","Cohort ID","Cohort name","Covariate ID","Covariate name","Covariate short name","Count","Percent"
"70","DemographicsEthnicity","96","DVT and PE","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","38003563005","ethnicity = Hispanic or Latino"," Hispanic or Latino","164","17.299578059071"
"70","DemographicsEthnicity","96","DVT and PE","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","38003564005","ethnicity = Not Hispanic or Latino"," Not Hispanic or Latino","762","80.379746835443"
"70","DemographicsEthnicity","0","All stratas","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","38003563005","ethnicity = Hispanic or Latino"," Hispanic or Latino","2838","14.363075054405"
"70","DemographicsEthnicity","0","All stratas","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","38003564005","ethnicity = Not Hispanic or Latino"," Not Hispanic or Latino","16377","82.883749177589"
"70","DemographicsEthnicity","96","DVT and PE","350","Major Orthopedic and Abdominal Surgeries","38003563005","ethnicity = Hispanic or Latino"," Hispanic or Latino","309","16.959385290889"
"70","DemographicsEthnicity","0","All stratas","350","Major Orthopedic and Abdominal Surgeries","38003564005","ethnicity = Not Hispanic or Latino"," Not Hispanic or Latino","73860","83.721562893188"
"70","DemographicsEthnicity","96","DVT and PE","350","Major Orthopedic and Abdominal Surgeries","38003564005","ethnicity = Not Hispanic or Latino"," Not Hispanic or Latino","1431","78.54006586169"
"70","DemographicsEthnicity","0","All stratas","350","Major Orthopedic and Abdominal Surgeries","38003563005","ethnicity = Hispanic or Latino"," Hispanic or Latino","9787","11.093730517677"
"72","DemographicsRace","96","DVT and PE","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","8552004","race = Unknown"," Unknown","19","2.0042194092820003"
"72","DemographicsRace","96","DVT and PE","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","8522004","race = Other Race"," Other Race","163","17.194092827004003"
"72","DemographicsRace","96","DVT and PE","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","8557004","race = Native Hawaiian or Other Pacific Islander"," Native Hawaiian or Other Pacific Islander","5","0.5274261603370001"
"72","DemographicsRace","0","All stratas","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","8522004","race = Other Race"," Other Race","2888","14.616124297788"
"72","DemographicsRace","0","All stratas","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","8557004","race = Native Hawaiian or Other Pacific Islander"," Native Hawaiian or Other Pacific Islander","219","1.108355686016"
"72","DemographicsRace","0","All stratas","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","8657004","race = American Indian or Alaska Native"," American Indian or Alaska Native","205","1.037501897869"
"72","DemographicsRace","0","All stratas","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","8552004","race = Unknown"," Unknown","434","2.196467432562"
"72","DemographicsRace","0","All stratas","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","8527004","race = White"," White","11210","56.733640366414996"
"72","DemographicsRace","0","All stratas","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","8516004","race = Black or African American"," Black or African American","1778","8.998431094691"
"72","DemographicsRace","0","All stratas","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","8515004","race = Asian"," Asian","3025","15.309479224657"
"72","DemographicsRace","96","DVT and PE","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","8516004","race = Black or African American"," Black or African American","79","8.333333333333"
"72","DemographicsRace","96","DVT and PE","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","8657004","race = American Indian or Alaska Native"," American Indian or Alaska Native","10","1.054852320675"
"72","DemographicsRace","96","DVT and PE","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","8515004","race = Asian"," Asian","168","17.721518987341"
"72","DemographicsRace","96","DVT and PE","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","8527004","race = White"," White","504","53.164556962025"
"72","DemographicsRace","96","DVT and PE","350","Major Orthopedic and Abdominal Surgeries","8657004","race = American Indian or Alaska Native"," American Indian or Alaska Native","15","0.8232711306249999"
"72","DemographicsRace","96","DVT and PE","350","Major Orthopedic and Abdominal Surgeries","8557004","race = Native Hawaiian or Other Pacific Islander"," Native Hawaiian or Other Pacific Islander","52","2.854006586169"
"72","DemographicsRace","96","DVT and PE","350","Major Orthopedic and Abdominal Surgeries","8522004","race = Other Race"," Other Race","324","17.782656421514"
"72","DemographicsRace","96","DVT and PE","350","Major Orthopedic and Abdominal Surgeries","8552004","race = Unknown"," Unknown","65","3.5675082327110004"
"72","DemographicsRace","0","All stratas","350","Major Orthopedic and Abdominal Surgeries","8516004","race = Black or African American"," Black or African American","7100","8.047970437877"
"72","DemographicsRace","0","All stratas","350","Major Orthopedic and Abdominal Surgeries","8552004","race = Unknown"," Unknown","3104","3.518436653404"
"72","DemographicsRace","0","All stratas","350","Major Orthopedic and Abdominal Surgeries","8522004","race = Other Race"," Other Race","10937","12.39727502522"
"72","DemographicsRace","0","All stratas","350","Major Orthopedic and Abdominal Surgeries","8557004","race = Native Hawaiian or Other Pacific Islander"," Native Hawaiian or Other Pacific Islander","2919","3.308736015234"
"72","DemographicsRace","0","All stratas","350","Major Orthopedic and Abdominal Surgeries","8657004","race = American Indian or Alaska Native"," American Indian or Alaska Native","532","0.603031024359"
"72","DemographicsRace","0","All stratas","350","Major Orthopedic and Abdominal Surgeries","8527004","race = White"," White","51740","58.648167669829"
"72","DemographicsRace","0","All stratas","350","Major Orthopedic and Abdominal Surgeries","8515004","race = Asian"," Asian","11889","13.476383174074"
"72","DemographicsRace","96","DVT and PE","350","Major Orthopedic and Abdominal Surgeries","8516004","race = Black or African American"," Black or African American","164","9.00109769484"
"72","DemographicsRace","96","DVT and PE","350","Major Orthopedic and Abdominal Surgeries","8527004","race = White"," White","954","52.360043907793"
"72","DemographicsRace","96","DVT and PE","350","Major Orthopedic and Abdominal Surgeries","8515004","race = Asian"," Asian","248","13.611416026344001"
"74","DemographicsGender","96","DVT and PE","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","8507001","gender = MALE"," MALE","467","49.261603375527"
"74","DemographicsGender","0","All stratas","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","8532001","gender = FEMALE"," FEMALE","11304","57.209372943974"
"74","DemographicsGender","0","All stratas","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","8507001","gender = MALE"," MALE","8447","42.750139177083"
"74","DemographicsGender","96","DVT and PE","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","8532001","gender = FEMALE"," FEMALE","481","50.738396624472"
"74","DemographicsGender","96","DVT and PE","350","Major Orthopedic and Abdominal Surgeries","8507001","gender = MALE"," MALE","979","53.732162458835994"
"74","DemographicsGender","0","All stratas","350","Major Orthopedic and Abdominal Surgeries","8507001","gender = MALE"," MALE","40663","46.092200269777"
"74","DemographicsGender","0","All stratas","350","Major Orthopedic and Abdominal Surgeries","8532001","gender = FEMALE"," FEMALE","47503","53.845456297253"
