"Analysis ID","Analysis name","Strata ID","Strata name","Target cohort ID","Target cohort name","Comparator cohort ID","Comparator cohort name","Covariate ID","Covariate name","Covariate short name","Target count","Target percent","Comparator count","Comparator percent","Std. Diff Of Mean"
"72","DemographicsRace","96","DVT and PE","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","350","Major Orthopedic and Abdominal Surgeries","8522004","race = Other Race"," Other Race","163","17.194092827004003","324","17.782656421514","-0.0155"
"72","DemographicsRace","96","DVT and PE","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","350","Major Orthopedic and Abdominal Surgeries","8515004","race = Asian"," Asian","168","17.721518987341","248","13.611416026344001","0.1133"
"72","DemographicsRace","0","All stratas","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","350","Major Orthopedic and Abdominal Surgeries","8527004","race = White"," White","11210","56.733640366414996","51740","58.648167669829","-0.0388"
"72","DemographicsRace","96","DVT and PE","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","350","Major Orthopedic and Abdominal Surgeries","8552004","race = Unknown"," Unknown","19","2.0042194092820003","65","3.5675082327110004","-0.0951"
"72","DemographicsRace","96","DVT and PE","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","350","Major Orthopedic and Abdominal Surgeries","8557004","race = Native Hawaiian or Other Pacific Islander"," Native Hawaiian or Other Pacific Islander","5","0.5274261603370001","52","2.854006586169","-0.1812"
"72","DemographicsRace","0","All stratas","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","350","Major Orthopedic and Abdominal Surgeries","8552004","race = Unknown"," Unknown","434","2.196467432562","3104","3.518436653404","-0.0794"
"72","DemographicsRace","96","DVT and PE","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","350","Major Orthopedic and Abdominal Surgeries","8516004","race = Black or African American"," Black or African American","79","8.333333333333","164","9.00109769484","-0.0237"
"72","DemographicsRace","0","All stratas","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","350","Major Orthopedic and Abdominal Surgeries","8557004","race = Native Hawaiian or Other Pacific Islander"," Native Hawaiian or Other Pacific Islander","219","1.108355686016","2919","3.308736015234","-0.1501"
"72","DemographicsRace","96","DVT and PE","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","350","Major Orthopedic and Abdominal Surgeries","8657004","race = American Indian or Alaska Native"," American Indian or Alaska Native","10","1.054852320675","15","0.8232711306249999","0.0240"
"72","DemographicsRace","0","All stratas","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","350","Major Orthopedic and Abdominal Surgeries","8522004","race = Other Race"," Other Race","2888","14.616124297788","10937","12.39727502522","0.0650"
"72","DemographicsRace","0","All stratas","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","350","Major Orthopedic and Abdominal Surgeries","8516004","race = Black or African American"," Black or African American","1778","8.998431094691","7100","8.047970437877","0.0340"
"72","DemographicsRace","0","All stratas","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","350","Major Orthopedic and Abdominal Surgeries","8515004","race = Asian"," Asian","3025","15.309479224657","11889","13.476383174074","0.0522"
"72","DemographicsRace","0","All stratas","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","350","Major Orthopedic and Abdominal Surgeries","8657004","race = American Indian or Alaska Native"," American Indian or Alaska Native","205","1.037501897869","532","0.603031024359","0.0482"
"72","DemographicsRace","96","DVT and PE","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","350","Major Orthopedic and Abdominal Surgeries","8527004","race = White"," White","504","53.164556962025","954","52.360043907793","0.0161"
