"Analysis ID","Analysis name","Strata ID","Strata name","Cohort ID","Cohort name","Covariate ID","Covariate name","Covariate short name","Count","Percent"
"80","DemographicsIndexYear","0","All stratas","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","2021006","index year: 2021"," 2021","1522","7.702818968571"
"80","DemographicsIndexYear","96","DVT and PE","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","2024006","index year: 2024"," 2024","52","5.48523206751"
"80","DemographicsIndexYear","0","All stratas","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","2011006","index year: 2011"," 2011","485","2.4545776608120002"
"80","DemographicsIndexYear","0","All stratas","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","2018006","index year: 2018"," 2018","1570","7.945746242218001"
"80","DemographicsIndexYear","0","All stratas","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","2014006","index year: 2014"," 2014","1590","8.046965939571"
"80","DemographicsIndexYear","96","DVT and PE","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","2021006","index year: 2021"," 2021","95","10.021097046412999"
"80","DemographicsIndexYear","96","DVT and PE","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","2014006","index year: 2014"," 2014","64","6.75105485232"
"80","DemographicsIndexYear","96","DVT and PE","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","2015006","index year: 2015"," 2015","68","7.17299578059"
"80","DemographicsIndexYear","0","All stratas","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","2012006","index year: 2012"," 2012","1385","7.009464041702"
"80","DemographicsIndexYear","96","DVT and PE","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","2020006","index year: 2020"," 2020","67","7.067510548523"
"80","DemographicsIndexYear","0","All stratas","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","2022006","index year: 2022"," 2022","1640","8.300015182954"
"80","DemographicsIndexYear","96","DVT and PE","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","2017006","index year: 2017"," 2017","80","8.4388185654"
"80","DemographicsIndexYear","0","All stratas","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","2023006","index year: 2023"," 2023","1810","9.160382610455"
"80","DemographicsIndexYear","0","All stratas","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","2024006","index year: 2024"," 2024","876","4.433422744065"
"80","DemographicsIndexYear","96","DVT and PE","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","2018006","index year: 2018"," 2018","91","9.599156118143"
"80","DemographicsIndexYear","0","All stratas","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","2016006","index year: 2016"," 2016","1419","7.181537527202001"
"80","DemographicsIndexYear","96","DVT and PE","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","2019006","index year: 2019"," 2019","75","7.911392405063"
"80","DemographicsIndexYear","96","DVT and PE","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","2016006","index year: 2016"," 2016","73","7.700421940928"
"80","DemographicsIndexYear","96","DVT and PE","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","2022006","index year: 2022"," 2022","92","9.70464135021"
"80","DemographicsIndexYear","0","All stratas","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","2019006","index year: 2019"," 2019","1501","7.59653828635"
"80","DemographicsIndexYear","0","All stratas","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","2020006","index year: 2020"," 2020","1462","7.399159876511"
"80","DemographicsIndexYear","0","All stratas","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","2013006","index year: 2013"," 2013","1580","7.996356090895"
"80","DemographicsIndexYear","0","All stratas","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","2015006","index year: 2015"," 2015","1458","7.3789159370410005"
"80","DemographicsIndexYear","96","DVT and PE","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","2023006","index year: 2023"," 2023","98","10.337552742616001"
"80","DemographicsIndexYear","96","DVT and PE","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","2013006","index year: 2013"," 2013","49","5.168776371308001"
"80","DemographicsIndexYear","96","DVT and PE","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","2012006","index year: 2012"," 2012","32","3.37552742616"
"80","DemographicsIndexYear","96","DVT and PE","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","2011006","index year: 2011"," 2011","12","1.2658227848099999"
"80","DemographicsIndexYear","0","All stratas","332","Enoxaparin Efficiency post Major Orthopedic and Abdominal Surgeries","2017006","index year: 2017"," 2017","1461","7.394098891644001"
"80","DemographicsIndexYear","96","DVT and PE","350","Major Orthopedic and Abdominal Surgeries","1998006","index year: 1998"," 1998","35","1.920965971459"
"80","DemographicsIndexYear","0","All stratas","350","Major Orthopedic and Abdominal Surgeries","1995006","index year: 1995"," 1995","1611","1.8260958275240002"
"80","DemographicsIndexYear","96","DVT and PE","350","Major Orthopedic and Abdominal Surgeries","2008006","index year: 2008"," 2008","30","1.6465422612510001"
"80","DemographicsIndexYear","96","DVT and PE","350","Major Orthopedic and Abdominal Surgeries","2021006","index year: 2021"," 2021","131","7.1899012074640005"
"80","DemographicsIndexYear","96","DVT and PE","350","Major Orthopedic and Abdominal Surgeries","2001006","index year: 2001"," 2001","30","1.6465422612510001"
"80","DemographicsIndexYear","96","DVT and PE","350","Major Orthopedic and Abdominal Surgeries","2018006","index year: 2018"," 2018","127","6.970362239297"
"80","DemographicsIndexYear","96","DVT and PE","350","Major Orthopedic and Abdominal Surgeries","2011006","index year: 2011"," 2011","21","1.1525795828749998"
"80","DemographicsIndexYear","0","All stratas","350","Major Orthopedic and Abdominal Surgeries","2002006","index year: 2002"," 2002","1312","1.487174255562"
"80","DemographicsIndexYear","96","DVT and PE","350","Major Orthopedic and Abdominal Surgeries","2015006","index year: 2015"," 2015","85","4.665203073544999"
"80","DemographicsIndexYear","96","DVT and PE","350","Major Orthopedic and Abdominal Surgeries","1995006","index year: 1995"," 1995","24","1.317233809001"
"80","DemographicsIndexYear","0","All stratas","350","Major Orthopedic and Abdominal Surgeries","2021006","index year: 2021"," 2021","6698","7.5922966187180005"
"80","DemographicsIndexYear","96","DVT and PE","350","Major Orthopedic and Abdominal Surgeries","2024006","index year: 2024"," 2024","76","4.17124039517"
"80","DemographicsIndexYear","0","All stratas","350","Major Orthopedic and Abdominal Surgeries","2008006","index year: 2008"," 2008","1210","1.371555525328"
"80","DemographicsIndexYear","0","All stratas","350","Major Orthopedic and Abdominal Surgeries","2001006","index year: 2001"," 2001","1289","1.461103365411"
"80","DemographicsIndexYear","96","DVT and PE","350","Major Orthopedic and Abdominal Surgeries","2002006","index year: 2002"," 2002","27","1.481888035126"
"80","DemographicsIndexYear","0","All stratas","350","Major Orthopedic and Abdominal Surgeries","2022006","index year: 2022"," 2022","6979","7.910814885344"
"80","DemographicsIndexYear","0","All stratas","350","Major Orthopedic and Abdominal Surgeries","2015006","index year: 2015"," 2015","4089","4.634950862039"
"80","DemographicsIndexYear","0","All stratas","350","Major Orthopedic and Abdominal Surgeries","2014006","index year: 2014"," 2014","2202","2.496004352705"
"80","DemographicsIndexYear","96","DVT and PE","350","Major Orthopedic and Abdominal Surgeries","2022006","index year: 2022"," 2022","133","7.299670691547"
"80","DemographicsIndexYear","0","All stratas","350","Major Orthopedic and Abdominal Surgeries","2024006","index year: 2024"," 2024","4005","4.53973543714"
"80","DemographicsIndexYear","0","All stratas","350","Major Orthopedic and Abdominal Surgeries","1999006","index year: 1999"," 1999","1313","1.488307772525"
"80","DemographicsIndexYear","96","DVT and PE","350","Major Orthopedic and Abdominal Surgeries","2007006","index year: 2007"," 2007","32","1.756311745334"
"80","DemographicsIndexYear","0","All stratas","350","Major Orthopedic and Abdominal Surgeries","2009006","index year: 2009"," 2009","1348","1.5279808662330001"
"80","DemographicsIndexYear","96","DVT and PE","350","Major Orthopedic and Abdominal Surgeries","2017006","index year: 2017"," 2017","82","4.50054884742"
"80","DemographicsIndexYear","0","All stratas","350","Major Orthopedic and Abdominal Surgeries","1996006","index year: 1996"," 1996","1539","1.744482606182"
"80","DemographicsIndexYear","96","DVT and PE","350","Major Orthopedic and Abdominal Surgeries","2004006","index year: 2004"," 2004","27","1.481888035126"
"80","DemographicsIndexYear","96","DVT and PE","350","Major Orthopedic and Abdominal Surgeries","1994006","index year: 1994"," 1994","29","1.591657519209"
"80","DemographicsIndexYear","0","All stratas","350","Major Orthopedic and Abdominal Surgeries","2012006","index year: 2012"," 2012","1593","1.8056925221879998"
"80","DemographicsIndexYear","96","DVT and PE","350","Major Orthopedic and Abdominal Surgeries","2020006","index year: 2020"," 2020","131","7.1899012074640005"
"80","DemographicsIndexYear","0","All stratas","350","Major Orthopedic and Abdominal Surgeries","2011006","index year: 2011"," 2011","893","1.012230648031"
"80","DemographicsIndexYear","96","DVT and PE","350","Major Orthopedic and Abdominal Surgeries","2019006","index year: 2019"," 2019","126","6.915477497255"
"80","DemographicsIndexYear","0","All stratas","350","Major Orthopedic and Abdominal Surgeries","1997006","index year: 1997"," 1997","1622","1.838564514117"
"80","DemographicsIndexYear","96","DVT and PE","350","Major Orthopedic and Abdominal Surgeries","2005006","index year: 2005"," 2005","30","1.6465422612510001"
"80","DemographicsIndexYear","0","All stratas","350","Major Orthopedic and Abdominal Surgeries","1998006","index year: 1998"," 1998","1567","1.776221081148"
"80","DemographicsIndexYear","96","DVT and PE","350","Major Orthopedic and Abdominal Surgeries","2006006","index year: 2006"," 2006","41","2.25027442371"
"80","DemographicsIndexYear","0","All stratas","350","Major Orthopedic and Abdominal Surgeries","2000006","index year: 2000"," 2000","1325","1.501909976082"
"80","DemographicsIndexYear","96","DVT and PE","350","Major Orthopedic and Abdominal Surgeries","2003006","index year: 2003"," 2003","30","1.6465422612510001"
"80","DemographicsIndexYear","0","All stratas","350","Major Orthopedic and Abdominal Surgeries","2023006","index year: 2023"," 2023","7870","8.92077849945"
"80","DemographicsIndexYear","96","DVT and PE","350","Major Orthopedic and Abdominal Surgeries","1993006","index year: 1993"," 1993","18","0.9879253567499999"
"80","DemographicsIndexYear","0","All stratas","350","Major Orthopedic and Abdominal Surgeries","2020006","index year: 2020"," 2020","5809","6.5846000385389996"
